uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,9
AC,OUTRAS,DOMICILIO,"< 9",M,21
AC,OUTRAS,HOSPITAL,"< 9",F,62
AC,OUTRAS,HOSPITAL,"< 9",I,3
AC,OUTRAS,HOSPITAL,"< 9",M,58
AC,OUTRAS,OUTRO,"< 9",F,5
AC,OUTRAS,OUTRO,"< 9",M,8
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
AC,OUTRAS,VIA_PUBLICA,"< 9",M,2
AC,COVID,HOSPITAL,"< 9",F,4
AC,COVID,HOSPITAL,"< 9",M,5
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,10
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,22
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,16
AC,PNEUMONIA,HOSPITAL,"< 9",M,16
AC,PNEUMONIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,OUTRO,"< 9",M,2
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AC,SEPTICEMIA,HOSPITAL,"< 9",F,37
AC,SEPTICEMIA,HOSPITAL,"< 9",M,66
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,8
AC,SRAG,HOSPITAL,"< 9",F,1
AL,OUTRAS,DOMICILIO,"< 9",F,15
AL,OUTRAS,DOMICILIO,"< 9",M,25
AL,OUTRAS,HOSPITAL,"< 9",F,265
AL,OUTRAS,HOSPITAL,"< 9",I,5
AL,OUTRAS,HOSPITAL,"< 9",M,270
AL,OUTRAS,OUTRO,"< 9",F,2
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
AL,OUTRAS,VIA_PUBLICA,"< 9",F,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,1
AL,COVID,HOSPITAL,"< 9",F,15
AL,COVID,HOSPITAL,"< 9",M,10
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,2
AL,INDETERMINADA,HOSPITAL,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,27
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,28
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AL,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AL,PNEUMONIA,DOMICILIO,"< 9",M,3
AL,PNEUMONIA,HOSPITAL,"< 9",F,19
AL,PNEUMONIA,HOSPITAL,"< 9",M,19
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,DOMICILIO,"< 9",F,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,82
AL,SEPTICEMIA,HOSPITAL,"< 9",M,106
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AL,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",F,2
AL,SRAG,HOSPITAL,"< 9",M,6
AM,OUTRAS,DOMICILIO,"< 9",F,38
AM,OUTRAS,DOMICILIO,"< 9",M,39
AM,OUTRAS,HOSPITAL,"< 9",F,302
AM,OUTRAS,HOSPITAL,"< 9",I,9
AM,OUTRAS,HOSPITAL,"< 9",M,422
AM,OUTRAS,IGNORADO,"< 9",F,2
AM,OUTRAS,IGNORADO,"< 9",M,4
AM,OUTRAS,OUTRO,"< 9",F,30
AM,OUTRAS,OUTRO,"< 9",M,42
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,OUTRAS,VIA_PUBLICA,"< 9",F,1
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,DOMICILIO,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,13
AM,COVID,HOSPITAL,"< 9",M,18
AM,COVID,OUTRO,"< 9",F,3
AM,COVID,OUTRO,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,DOMICILIO,"< 9",M,3
AM,INDETERMINADA,OUTRO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,24
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,42
